timestamp,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Other renewable,Solar,Waste,Wind Onshore
2024-01-06 04:00:00,0.0,0.0,0.0,0.0,0.0,234.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-06 05:00:00,0.0,0.0,0.0,0.0,0.0,253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-06 06:00:00,0.0,0.0,0.0,0.0,0.0,128.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-06 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-06 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-06 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-06 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-06 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-06 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-06 13:00:00,0.0,0.0,0.0,0.0,0.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-06 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-06 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-06 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-06 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-06 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-06 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-06 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-06 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-06 22:00:00,0.0,0.0,0.0,0.0,0.0,7.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-06 23:00:00,0.0,0.0,0.0,0.0,0.0,125.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-07 00:00:00,0.0,0.0,0.0,0.0,0.0,605.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-07 01:00:00,0.0,0.0,0.0,0.0,0.0,1289.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-07 02:00:00,0.0,0.0,0.0,0.0,0.0,1698.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-07 03:00:00,0.0,0.0,0.0,0.0,0.0,1905.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-07 04:00:00,0.0,0.0,0.0,0.0,0.0,1856.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-07 05:00:00,0.0,0.0,0.0,0.0,0.0,1885.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-07 06:00:00,0.0,0.0,0.0,0.0,0.0,1773.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-07 07:00:00,0.0,0.0,0.0,0.0,0.0,1372.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-07 08:00:00,0.0,0.0,0.0,0.0,0.0,1020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-07 09:00:00,0.0,0.0,0.0,0.0,0.0,526.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-07 10:00:00,0.0,0.0,0.0,0.0,0.0,288.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-07 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-07 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-07 13:00:00,0.0,0.0,0.0,0.0,0.0,178.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-07 14:00:00,0.0,0.0,0.0,0.0,0.0,205.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-07 15:00:00,0.0,0.0,0.0,0.0,0.0,230.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-07 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-07 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
