
name,country,zone,fuel,tech,commissioned,capacity_mw,eta,scale,scaled_capacity_mw,fuel_std,tech_std
Eemscentrale (EC20),NL,NL,gas,CCGT,,131.0,0.55,,131.0,gas,ccgt
Eemscentrale (EC3),NL,NL,gas,CCGT,,359.0,0.55,,359.0,gas,ccgt
Eemscentrale (EC4),NL,NL,gas,CCGT,,359.0,0.55,,359.0,gas,ccgt
Eemscentrale (EC5),NL,NL,gas,CCGT,,361.0,0.55,,361.0,gas,ccgt
Eemscentrale (EC6),NL,NL,gas,CCGT,,359.0,0.55,,359.0,gas,ccgt
Eemscentrale (EC7),NL,NL,gas,CCGT,,360.0,0.55,,360.0,gas,ccgt
HM12,NL,NL,gas,CCGT,,0.0,0.55,,0.0,gas,ccgt
HTB,NL,NL,gas,CCGT,,32.0,0.55,,32.0,gas,ccgt
KLAZI,NL,NL,gas,CCGT,,63.0,0.55,,63.0,gas,ccgt
LD12,NL,NL,gas,CCGT,,83.0,0.55,,83.0,gas,ccgt
LWE5,NL,NL,gas,CCGT,,0.0,0.55,,0.0,gas,ccgt
MK11,NL,NL,gas,CCGT,,103.0,0.55,,103.0,gas,ccgt
MVL380 Centrale Rotterdam 1,NL,NL,hardcoal,Hardcoal,,731.0,0.4,,731.0,hardcoal,steam_turbine
Magnum Centrale (10),NL,NL,gas,CCGT,,437.0,0.55,,437.0,gas,ccgt
Magnum Centrale (20),NL,NL,gas,CCGT,,437.0,0.55,,437.0,gas,ccgt
Magnum Centrale (30),NL,NL,gas,CCGT,,437.0,0.55,,437.0,gas,ccgt
Maxima Centrale (FL30),NL,NL,gas,CCGT,,0.0,0.55,,0.0,gas,ccgt
Maxima Centrale (FL4),NL,NL,gas,CCGT,,435.0,0.55,,435.0,gas,ccgt
Maxima Centrale (FL5),NL,NL,gas,CCGT,,437.0,0.55,,437.0,gas,ccgt
Moerdijk 1,NL,NL,gas,CCGT,,348.0,0.55,,348.0,gas,ccgt
Moerdijk 2,NL,NL,gas,CCGT,,426.0,0.55,,426.0,gas,ccgt
PU-1,NL,NL,gas,CCGT,,67.0,0.55,,67.0,gas,ccgt
ROC1,NL,NL,gas,CCGT,,24.0,0.55,,24.0,gas,ccgt
ROC2,NL,NL,gas,CCGT,,24.0,0.55,,24.0,gas,ccgt
Rijnmond II,NL,NL,gas,CCGT,,428.0,0.55,,428.0,gas,ccgt
Rijnmond1,NL,NL,gas,CCGT,,800.0,0.55,,800.0,gas,ccgt
SAL,NL,NL,gas,CCGT,,60.0,0.55,,60.0,gas,ccgt
Sloecentrale (unit 10),NL,NL,gas,CCGT,,432.0,0.55,,432.0,gas,ccgt
Sloecentrale (unit 20),NL,NL,gas,CCGT,,432.0,0.55,,432.0,gas,ccgt
UCML,NL,NL,gas,CCGT,,79.0,0.55,,79.0,gas,ccgt
Willem Alexander Centrale,NL,NL,hardcoal,Hardcoal,,249.0,0.4,,249.0,hardcoal,steam_turbine
corus,NL,NL,,,,38.0,,,38.0,unknown,unknown
PROVENCE 4 BIOMASSE,FR,FR,gas,CCGT,2018.0,150.0,0.58,1.9593483784187715,293.90225676281574,gas,ccgt
AMFARD14,FR,FR,gas,CCGT,2004.0,130.0,0.55,1.9593483784187715,254.7152891944403,gas,ccgt
AMFARD15,FR,FR,gas,CCGT,2004.0,130.0,0.55,1.9593483784187715,254.7152891944403,gas,ccgt
BLENOD 5,FR,FR,gas,CCGT,,427.0,0.55,1.9593483784187715,836.6417575848154,gas,ccgt
BOUCHAIN 7,FR,FR,gas,CCGT,2017.0,585.0,0.58,1.9593483784187715,1146.2188013749812,gas,ccgt
COMBIGOLFE,FR,FR,gas,CCGT,2010.0,425.0,0.58,1.9593483784187715,832.7230608279779,gas,ccgt
CYCOFOS,FR,FR,gas,CCGT,2009.0,428.0,0.58,1.9593483784187715,838.6011059632342,gas,ccgt
Croix-de-Metz,FR,FR,gas,CCGT,2019.0,413.0,0.58,1.9593483784187715,809.2108802869526,gas,ccgt
DK6,FR,FR,gas,CCGT,2005.0,796.0,0.55,1.9593483784187715,1559.6413092213422,gas,ccgt
EMILE HUCHET 7,FR,FR,gas,CCGT,2010.0,413.0,0.58,1.9593483784187715,809.2108802869526,gas,ccgt
EMILE HUCHET 8,FR,FR,gas,CCGT,2010.0,413.0,0.58,1.9593483784187715,809.2108802869526,gas,ccgt
FR-GA-MORANT1,FR,FR,gas,CCGT,2016.0,401.0,0.58,1.9593483784187715,785.6986997459273,gas,ccgt
GENNEVILLIERS 1,FR,FR,gas,CCGT,,203.0,0.55,1.9593483784187715,397.7477208190106,gas,ccgt
MARTIGUES PONTEAU 5,FR,FR,gas,CCGT,,465.0,0.55,1.9593483784187715,911.0969959647288,gas,ccgt
MARTIGUES PONTEAU 6,FR,FR,gas,CCGT,,465.0,0.55,1.9593483784187715,911.0969959647288,gas,ccgt
