name,country,zone,fuel,tech,commissioned,capacity_mw,eta,lon,lat
TRICASTIN 4,FR,FR,,,,915.0,,4.72605,44.32906
CYCOFOS TV2,FR,FR,,,2009.0,62.0,,4.88652,43.42801
Bełchatów B02,PL,PL,lignite,Lignite,,370.0,0.39,19.31765,51.26719
Bełchatów B03,PL,PL,lignite,Lignite,,380.0,0.39,19.31765,51.26719
Bełchatów B04,PL,PL,lignite,Lignite,,380.0,0.39,19.31765,51.26719
Bełchatów B05,PL,PL,lignite,Lignite,,380.0,0.39,19.31765,51.26719
Bełchatów B06,PL,PL,lignite,Lignite,,394.0,0.39,19.31765,51.26719
Bełchatów B07,PL,PL,lignite,Lignite,,390.0,0.39,19.31765,51.26719
Bełchatów B08,PL,PL,lignite,Lignite,,390.0,0.39,19.31765,51.26719
Bełchatów B09,PL,PL,lignite,Lignite,,390.0,0.39,19.31765,51.26719
Bełchatów B10,PL,PL,lignite,Lignite,,390.0,0.39,19.31765,51.26719
Bełchatów B11,PL,PL,lignite,Lignite,,390.0,0.39,19.31765,51.26719
Bełchatów B12,PL,PL,lignite,Lignite,,390.0,0.39,19.31765,51.26719
Bełchatów B14,PL,PL,lignite,Lignite,,858.0,0.39,19.31765,51.26719
Dolna Odra B1,PL,PL,hardcoal,Hardcoal,,222.0,0.4,14.46696,53.20981
Dolna Odra B2,PL,PL,hardcoal,Hardcoal,,232.0,0.4,14.46696,53.20981
Dolna Odra B5,PL,PL,hardcoal,Hardcoal,,222.0,0.4,14.46696,53.20981
Dolna Odra B6,PL,PL,hardcoal,Hardcoal,,222.0,0.4,14.46696,53.20981
Dolna Odra B7,PL,PL,hardcoal,Hardcoal,,227.0,0.4,14.46696,53.20981
Dolna Odra B8,PL,PL,hardcoal,Hardcoal,,232.0,0.4,14.46696,53.20981
Dychów H1,PL,PL,,,,28.0,,15.45145,51.56076
Dychów H2,PL,PL,,,,29.0,,15.45145,51.56076
Dychów H3,PL,PL,,,,28.0,,15.45145,51.56076
Jaworzno 3 B1,PL,PL,hardcoal,Hardcoal,,225.0,0.4,19.2287,50.21356
Jaworzno 3 B2,PL,PL,hardcoal,Hardcoal,,225.0,0.4,19.2287,50.21356
Jaworzno 3 B3,PL,PL,hardcoal,Hardcoal,,225.0,0.4,19.2287,50.21356
Jaworzno 3 B4,PL,PL,hardcoal,Hardcoal,,225.0,0.4,19.2287,50.21356
Jaworzno 3 B5,PL,PL,hardcoal,Hardcoal,,220.0,0.4,19.2287,50.21356
Jaworzno 3 B6,PL,PL,hardcoal,Hardcoal,,225.0,0.4,19.2287,50.21356
Karolin B2,PL,PL,hardcoal,Hardcoal,,100.0,0.4,,
Karolin B3,PL,PL,hardcoal,Hardcoal,,112.0,0.4,,
Kozienice 1 B1,PL,PL,hardcoal,Hardcoal,,228.0,0.4,21.46532,51.66506
Kozienice 1 B2,PL,PL,hardcoal,Hardcoal,,228.0,0.4,21.46532,51.66506
Kozienice 1 B3,PL,PL,hardcoal,Hardcoal,,225.0,0.4,21.46532,51.66506
Kozienice 1 B4,PL,PL,hardcoal,Hardcoal,,228.0,0.4,21.46532,51.66506
Kozienice 1 B5,PL,PL,hardcoal,Hardcoal,,228.0,0.4,21.46532,51.66506
Kozienice 1 B6,PL,PL,hardcoal,Hardcoal,,228.0,0.4,21.46532,51.66506
Kozienice 1 B7,PL,PL,hardcoal,Hardcoal,,228.0,0.4,21.46532,51.66506
Kozienice 1 B8,PL,PL,hardcoal,Hardcoal,,228.0,0.4,21.46532,51.66506
Kozienice 2 B09,PL,PL,hardcoal,Hardcoal,,560.0,0.4,21.45766,51.66256
Kozienice 2 B10,PL,PL,hardcoal,Hardcoal,,560.0,0.4,21.45766,51.66256
Kozienice 2 B11,PL,PL,hardcoal,Hardcoal,,1075.0,0.4,,
Łagisza B10,PL,PL,hardcoal,Hardcoal,,460.0,0.4,19.14101,50.34965
Łagisza B6,PL,PL,hardcoal,Hardcoal,,120.0,0.4,19.14101,50.34965
Łagisza B7,PL,PL,hardcoal,Hardcoal,,120.0,0.4,19.14101,50.34965
Łaziska 2 B1,PL,PL,hardcoal,Hardcoal,,125.0,0.4,18.84039,50.13236
