"name","country","zone","fuel","tech","commissioned","capacity_mw","eta","scale","scaled_capacity_mw"
"VALLABREGUES","FR","FR","nan","","1970.0","210.0","","","210.0"
"VOGELGRUN","FR","FR","nan","","","140.5","","","140.5"
"AIGLE","FR","FR","nan","","","360.0","","","360.0"
"BATHIE","FR","FR","nan","","2018.0","592.0","","","592.0"
"BORT","FR","FR","nan","","","235.0","","","235.0"
"BROMMAT","FR","FR","nan","","","406.0","","","406.0"
"COMBE D'AVRIEUX","FR","FR","nan","","","123.0","","","123.0"
"CURBANS","FR","FR","nan","","","139.0","","","139.0"
"MALGOVERT","FR","FR","nan","","","297.0","","","297.0"
"MONTEYNARD","FR","FR","nan","","","366.0","","","366.0"
"MONTPEZAT","FR","FR","nan","","","131.8","","","131.8"
"ORAISON","FR","FR","nan","","","187.0","","","187.0"
"PIED DE BORNE","FR","FR","nan","","","109.4","","","109.4"
"POUGET","FR","FR","nan","","","446.9","","","446.9"
"PRAGNERES","FR","FR","nan","","","189.2","","","189.2"
"SAINT CHAMAS","FR","FR","nan","","","159.0","","","159.0"
"SAINT ESTEVE","FR","FR","nan","","","141.0","","","141.0"
"SAINT GUILLERME","FR","FR","nan","","","116.0","","","116.0"
"SAINTE CROIX","FR","FR","nan","","","132.3","","","132.3"
"SARRANS","FR","FR","nan","","","183.0","","","183.0"
"SERRE PONCON","FR","FR","nan","","","384.0","","","384.0"
"SISTERON","FR","FR","nan","","2017.0","240.0","","","240.0"
"ST ETIENNE CANTALES","FR","FR","nan","","2016.0","103.3","","","103.3"
"VILLARODIN","FR","FR","nan","","","357.0","","","357.0"
"VOUGLANS","FR","FR","nan","","","285.0","","","285.0"
"BELLEVILLE 1","FR","FR","nan","","","1310.0","","","1310.0"
"BELLEVILLE 2","FR","FR","nan","","","1310.0","","","1310.0"
"BLAYAIS 1","FR","FR","nan","","","910.0","","","910.0"
"BLAYAIS 2","FR","FR","nan","","","910.0","","","910.0"
"BLAYAIS 3","FR","FR","nan","","","910.0","","","910.0"
"BLAYAIS 4","FR","FR","nan","","","910.0","","","910.0"
"BUGEY 2","FR","FR","nan","","","910.0","","","910.0"
"BUGEY 3","FR","FR","nan","","","910.0","","","910.0"
"BUGEY 4","FR","FR","nan","","","880.0","","","880.0"
"BUGEY 5","FR","FR","nan","","","880.0","","","880.0"
"CATTENOM 1","FR","FR","nan","","","1300.0","","","1300.0"
"CATTENOM 2","FR","FR","nan","","","1300.0","","","1300.0"
"CATTENOM 3","FR","FR","nan","","","1300.0","","","1300.0"
"CATTENOM 4","FR","FR","nan","","","1300.0","","","1300.0"
"CHINON 1","FR","FR","nan","","","905.0","","","905.0"
"CHINON 2","FR","FR","nan","","","905.0","","","905.0"
"CHINON 3","FR","FR","nan","","","905.0","","","905.0"
"CHINON 4","FR","FR","nan","","","905.0","","","905.0"
"CHOOZ 1","FR","FR","nan","","","1500.0","","","1500.0"
"CHOOZ 2","FR","FR","nan","","","1500.0","","","1500.0"
"CIVAUX 1","FR","FR","nan","","","1495.0","","","1495.0"
"CIVAUX 2","FR","FR","nan","","","1495.0","","","1495.0"
"CRUAS 1","FR","FR","nan","","","915.0","","","915.0"
"CRUAS 2","FR","FR","nan","","","915.0","","","915.0"
"CRUAS 3","FR","FR","nan","","","915.0","","","915.0"
"CRUAS 4","FR","FR","nan","","","915.0","","","915.0"
"DAMPIERRE 1","FR","FR","nan","","","890.0","","","890.0"
"DAMPIERRE 2","FR","FR","nan","","","890.0","","","890.0"
"DAMPIERRE 3","FR","FR","nan","","","890.0","","","890.0"
"DAMPIERRE 4","FR","FR","nan","","","890.0","","","890.0"
"FESSENHEIM 1","FR","FR","nan","","","880.0","","","880.0"
"FESSENHEIM 2","FR","FR","nan","","","880.0","","","880.0"
"FLAMANVILLE 1","FR","FR","nan","","","1330.0","","","1330.0"
"FLAMANVILLE 2","FR","FR","nan","","","1330.0","","","1330.0"
"GOLFECH 1","FR","FR","nan","","","1310.0","","","1310.0"
"GOLFECH 2","FR","FR","nan","","","1310.0","","","1310.0"
"GRAVELINES 1","FR","FR","nan","","","910.0","","","910.0"
"GRAVELINES 2","FR","FR","nan","","","910.0","","","910.0"
"GRAVELINES 3","FR","FR","nan","","","910.0","","","910.0"
"GRAVELINES 4","FR","FR","nan","","","910.0","","","910.0"
"GRAVELINES 5","FR","FR","nan","","","910.0","","","910.0"
"GRAVELINES 6","FR","FR","nan","","","910.0","","","910.0"
"NOGENT 1","FR","FR","nan","","","1310.0","","","1310.0"
"NOGENT 2","FR","FR","nan","","","1310.0","","","1310.0"
"PALUEL 1","FR","FR","nan","","","1330.0","","","1330.0"
"PALUEL 2","FR","FR","nan","","","1330.0","","","1330.0"
"PALUEL 3","FR","FR","nan","","","1330.0","","","1330.0"
"PALUEL 4","FR","FR","nan","","","1330.0","","","1330.0"
"PENLY 1","FR","FR","nan","","","1330.0","","","1330.0"
"PENLY 2","FR","FR","nan","","","1330.0","","","1330.0"
"ST ALBAN 1","FR","FR","nan","","","1335.0","","","1335.0"
"ST ALBAN 2","FR","FR","nan","","","1335.0","","","1335.0"
"ST LAURENT 1","FR","FR","nan","","","915.0","","","915.0"
"ST LAURENT 2","FR","FR","nan","","","915.0","","","915.0"
"TRICASTIN 1","FR","FR","nan","","","915.0","","","915.0"
"TRICASTIN 2","FR","FR","nan","","","915.0","","","915.0"
"TRICASTIN 3","FR","FR","nan","","","915.0","","","915.0"
"TRICASTIN 4","FR","FR","nan","","","915.0","","","915.0"
"CYCOFOS TV2","FR","FR","nan","","2009.0","62.0","","","62.0"
"Bełchatów B02","PL","PL","lignite","Lignite","","370.0","0.39","0.8365430909966297","309.520943668753"
"Bełchatów B03","PL","PL","lignite","Lignite","","380.0","0.39","0.8365430909966297","317.8863745787193"
"Bełchatów B04","PL","PL","lignite","Lignite","","380.0","0.39","0.8365430909966297","317.8863745787193"
"Bełchatów B05","PL","PL","lignite","Lignite","","380.0","0.39","0.8365430909966297","317.8863745787193"
"Bełchatów B06","PL","PL","lignite","Lignite","","394.0","0.39","0.8365430909966297","329.5979778526721"
"Bełchatów B07","PL","PL","lignite","Lignite","","390.0","0.39","0.8365430909966297","326.2518054886856"
"Bełchatów B08","PL","PL","lignite","Lignite","","390.0","0.39","0.8365430909966297","326.2518054886856"
"Bełchatów B09","PL","PL","lignite","Lignite","","390.0","0.39","0.8365430909966297","326.2518054886856"
"Bełchatów B10","PL","PL","lignite","Lignite","","390.0","0.39","0.8365430909966297","326.2518054886856"
"Bełchatów B11","PL","PL","lignite","Lignite","","390.0","0.39","0.8365430909966297","326.2518054886856"
"Bełchatów B12","PL","PL","lignite","Lignite","","390.0","0.39","0.8365430909966297","326.2518054886856"
"Bełchatów B14","PL","PL","lignite","Lignite","","858.0","0.39","0.8365430909966297","717.7539720751083"
